STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1045099999,2023-01-01,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",32.9,24,27.3,24,9999.9,,999.9,,999.9,,12.7,24,23.3,37.9,36.9,"",28.9,"",0.01,G,999.9,000000
1045099999,2023-01-02,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",31.3,24,22.8,24,9999.9,,999.9,,999.9,,8.2,24,11.5,16.9,36.9,"",28.2,"",0.14,G,3.1,000000
1045099999,2023-01-03,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",27.2,24,22.9,24,9999.9,,999.9,,999.9,,10.8,24,14.6,19.6,31.1,"",21.9,"",0.03,G,999.9,000000
1045099999,2023-01-04,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",21.4,24,14.1,24,9999.9,,999.9,,999.9,,7.7,24,9.5,12.2,27.0,"",18.1,"",0.04,G,3.1,000000
1045099999,2023-01-05,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",25.0,24,14.7,24,9999.9,,999.9,,999.9,,6.1,24,9.9,15.2,27.3,"",20.5,"",3.15,G,3.1,000000
1045099999,2023-01-06,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",19.3,24,10.7,24,9999.9,,999.9,,999.9,,10.6,24,16.5,23.9,25.3,*,16.0,"",0.0,I,3.1,000000
1045099999,2023-01-07,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",16.5,24,6.5,24,9999.9,,999.9,,999.9,,19.0,24,25.8,36.3,25.2,"",13.5,"",2.76,G,2.0,000000
1045099999,2023-01-08,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",18.9,24,10.6,24,9999.9,,999.9,,999.9,,24.8,24,31.7,59.2,22.8,"",13.5,"",1.97,G,1.2,000000
1045099999,2023-01-09,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",26.9,24,16.6,24,9999.9,,999.9,,999.9,,22.2,24,36.1,58.3,30.7,"",19.6,"",0.0,G,999.9,000000
1045099999,2023-01-10,69.8333333,21.8833333,6.0,"NORDSTRAUM I KVAENANGEN, NO",27.7,24,18.9,24,9999.9,,999.9,,999.9,,8.7,24,13.8,19.0,32.0,"",25.3,"",0.0,G,999.9,000000
